Comment,label,databersih,Tokenized,Remove stopwords,stemming,label_angka
"terimakasih untuk palestina yang dulu mendukung dan mengakui indonesia dengan tegas hingga kami bisa merdeka tahun 1945.
dan saya meminta maaf kepada palestina atas para petinggi indonesia yang tidak tegas untuk mendukung palestina merdeka.
sepertinya para petinggi negara kami tidak takut allah swt, dan malah takut sama negara eropa yang mendukung israel.
 undang-undang dasar negara republik indonesia tahun 1945
pembukaan
bahwa sesungguhnya kemerdekaan itu ialah hak segala bangsa dan oleh sebab itu, maka penjajahan di atas dunia harus dihapuskan, karena tidak sesuai dengan perikemanusiaan dan perikeadilan.
""penjajah harus dihapuskan, dan palestina harus merdeka"".",bukan ujaran kebencian,terima kasih untuk palestina yang dulu mendukung dan mengakui indonesia dengan tegas hingga kami bisa merdeka tahun dan aku meminta maaf kepada palestina atas para petinggi indonesia yang tidak tegas untuk mendukung palestina merdeka sepertinya para petinggi negara kami tidak takut allah swt dan malah takut sama negara eropa yang mendukung israel undang undang dasar negara republik indonesia tahun pembukaan bahwa sesungguhnya kemerdekaan itu ialah hak segala bangsa dan oleh sebab itu maka penjajahan di atas dunia harus dihapuskan karena tidak sesuai dengan perikemanusiaan dan perikeadilan penjajah harus dihapuskan dan palestina harus merdeka,"['terima', 'kasih', 'untuk', 'palestina', 'yang', 'dulu', 'mendukung', 'dan', 'mengakui', 'indonesia', 'dengan', 'tegas', 'hingga', 'kami', 'bisa', 'merdeka', 'tahun', 'dan', 'aku', 'meminta', 'maaf', 'kepada', 'palestina', 'atas', 'para', 'petinggi', 'indonesia', 'yang', 'tidak', 'tegas', 'untuk', 'mendukung', 'palestina', 'merdeka', 'sepertinya', 'para', 'petinggi', 'negara', 'kami', 'tidak', 'takut', 'allah', 'swt', 'dan', 'malah', 'takut', 'sama', 'negara', 'eropa', 'yang', 'mendukung', 'israel', 'undang', 'undang', 'dasar', 'negara', 'republik', 'indonesia', 'tahun', 'pembukaan', 'bahwa', 'sesungguhnya', 'kemerdekaan', 'itu', 'ialah', 'hak', 'segala', 'bangsa', 'dan', 'oleh', 'sebab', 'itu', 'maka', 'penjajahan', 'di', 'atas', 'dunia', 'harus', 'dihapuskan', 'karena', 'tidak', 'sesuai', 'dengan', 'perikemanusiaan', 'dan', 'perikeadilan', 'penjajah', 'harus', 'dihapuskan', 'dan', 'palestina', 'harus', 'merdeka']",terima kasih palestina mendukung mengakui indonesia merdeka maaf palestina petinggi indonesia mendukung palestina merdeka petinggi negara takut allah swt takut negara eropa mendukung israel undang undang dasar negara republik indonesia pembukaan sesungguhnya kemerdekaan hak bangsa penjajahan dunia dihapuskan sesuai perikemanusiaan perikeadilan penjajah dihapuskan palestina merdeka,terima kasih palestina dukung aku indonesia merdeka maaf palestina petinggi indonesia dukung palestina merdeka petinggi negara takut allah swt takut negara eropa dukung israel undang undang dasar negara republik indonesia buka sungguh merdeka hak bangsa jajah dunia hapus sesuai perikemanusiaan perikeadilan jajah hapus palestina merdeka,1
yg sabar ya mba erina ❤️❤️,bukan ujaran kebencian,yang sabar ya kakak erina,"['yang', 'sabar', 'ya', 'kakak', 'erina']",sabar ya kakak erina,sabar ya kakak erina,1
"jangan sok""an anda kalo bukan putra presiden anda hanya mas"" biasa' saja",ujaran kebencian,jangan sok an kamu kalau bukan putra presiden kamu hanya mas biasa saja,"['jangan', 'sok', 'an', 'kamu', 'kalau', 'bukan', 'putra', 'presiden', 'kamu', 'hanya', 'mas', 'biasa', 'saja']",sok an putra presiden mas,sok an putra presiden mas,0
mas kaesang tolong bilang bapak buka kembali kasus jesica.,bukan ujaran kebencian,kakak kaesang tolong bilang bapak buka kembali kasus jesica,"['kakak', 'kaesang', 'tolong', 'bilang', 'bapak', 'buka', 'kembali', 'kasus', 'jesica']",kakak kaesang tolong bilang buka jesica,kakak kaesang tolong bilang buka jesica,1
kerenn anak muda berpolitik,bukan ujaran kebencian,keren anak muda berpolitik,"['keren', 'anak', 'muda', 'berpolitik']",keren anak muda berpolitik,keren anak muda politik,1
anak kampret,ujaran kebencian,anak kampret,"['anak', 'kampret']",anak kampret,anak kampret,0
"justice for jesica kumala wongso kak ,kaesang🔥",bukan ujaran kebencian,adil untuk je ica kumala wongso kakak kaesang,"['adil', 'untuk', 'je', 'ica', 'kumala', 'wongso', 'kakak', 'kaesang']",adil je ica kumala wongso kakak kaesang,adil je ica mala wongso kakak kaesang,1
"izin rekomendasiin hunian di bsd ya kak siapa tau cocok. @thezorabsd jadi rumah idaman yg mewah dan berkualitas juga dilengkapi dengan berbagai fitur yg gaada tandingannya, contohnya low e-glass yg bisa ngurangin panas sebanyak 30%. ayo kak di cek, cocok untuk jadi aset properti!",bukan ujaran kebencian,izin rekomendasikan hunian di bsd ya kakak siapa tau cocok jadi rumah idaman yang mewah dan berkualitas juga dilengkapi dengan berbagai fitur yang tidak ada tandingannya contohnya low e gla yang bisa ngurangin panas sebanyak ayo kakak di cek cocok untuk jadi aset properti,"['izin', 'rekomendasikan', 'hunian', 'di', 'bsd', 'ya', 'kakak', 'siapa', 'tau', 'cocok', 'jadi', 'rumah', 'idaman', 'yang', 'mewah', 'dan', 'berkualitas', 'juga', 'dilengkapi', 'dengan', 'berbagai', 'fitur', 'yang', 'tidak', 'ada', 'tandingannya', 'contohnya', 'low', 'e', 'gla', 'yang', 'bisa', 'ngurangin', 'panas', 'sebanyak', 'ayo', 'kakak', 'di', 'cek', 'cocok', 'untuk', 'jadi', 'aset', 'properti']",izin rekomendasikan hunian bsd ya kakak tau cocok rumah idaman mewah berkualitas dilengkapi fitur tandingannya contohnya low e gla ngurangin panas ayo kakak cek cocok aset properti,izin rekomendasi huni bsd ya kakak tau cocok rumah idam mewah kualitas lengkap fitur tanding contoh low e gla ngurangin panas ayo kakak cek cocok aset properti,1
kak kaesang tolong smpe kan ke pak presiden dia kan pemimpin indonesia tolong bantu keadilan indonesia...masa jesicca di hukum tanpa barang bukti kuat..jngn biarkan hukum indonesia bisa di beli pake 💸💰..di sila ke 5 keadilan sosial bagi seluruh rakyat indonesia apa sekarang udah punah sila itu...hnya karna uang.,bukan ujaran kebencian,kakak kaesang tolong sampai kan ke bapak presiden dia kan pemimpin indonesia tolong bantu keadilan indonesia masa jesicca di hukum tanpa barang bukti kuat jngn biarkan hukum indonesia bisa di beli pakai di sila ke keadilan sosial bagi seluruh rakyat indonesia apa sekarang sudah punah sila itu hnya karena uang,"['kakak', 'kaesang', 'tolong', 'sampai', 'kan', 'ke', 'bapak', 'presiden', 'dia', 'kan', 'pemimpin', 'indonesia', 'tolong', 'bantu', 'keadilan', 'indonesia', 'masa', 'jesicca', 'di', 'hukum', 'tanpa', 'barang', 'bukti', 'kuat', 'jngn', 'biarkan', 'hukum', 'indonesia', 'bisa', 'di', 'beli', 'pakai', 'di', 'sila', 'ke', 'keadilan', 'sosial', 'bagi', 'seluruh', 'rakyat', 'indonesia', 'apa', 'sekarang', 'sudah', 'punah', 'sila', 'itu', 'hnya', 'karena', 'uang']",kakak kaesang tolong presiden pemimpin indonesia tolong bantu keadilan indonesia jesicca hukum barang bukti kuat jngn biarkan hukum indonesia beli pakai sila keadilan sosial rakyat indonesia punah sila hnya uang,kakak kaesang tolong presiden pimpin indonesia tolong bantu adil indonesia jesicca hukum barang bukti kuat jngn biar hukum indonesia beli pakai sila adil sosial rakyat indonesia punah sila hnya uang,1
pak kaesang. tolong bantu kasus jessica,bukan ujaran kebencian,bapak kaesang tolong bantu kasus je ica,"['bapak', 'kaesang', 'tolong', 'bantu', 'kasus', 'je', 'ica']",kaesang tolong bantu je ica,kaesang tolong bantu je ica,1
semangat mas,bukan ujaran kebencian,semangat kakak,"['semangat', 'kakak']",semangat kakak,semangat kakak,1
mas kaesan tolong bantu 😢😢 kasus jessica,bukan ujaran kebencian,kakak kaesan tolong bantu kasus je ica,"['kakak', 'kaesan', 'tolong', 'bantu', 'kasus', 'je', 'ica']",kakak kaesan tolong bantu je ica,kakak kaesan tolong bantu je ica,1
hidup pdi perjuangan,bukan ujaran kebencian,hidup partai demokrasi indonesia perjuangan,"['hidup', 'partai', 'demokrasi', 'indonesia', 'perjuangan']",hidup partai demokrasi indonesia perjuangan,hidup partai demokrasi indonesia juang,1
timses  prabowo🔥,bukan ujaran kebencian,grup sukses prabowo,"['grup', 'sukses', 'prabowo']",grup sukses prabowo,grup sukses prabowo,1
hanya bisa org dalam yg mampu menjadi pimpinan. tanpa org dalam kita bisa apa.ngang ngong nganggong😂,bukan ujaran kebencian,hanya bisa orang dalam yang mampu menjadi pimpinan tanpa orang dalam kita bisa apa ngang ngong nganggong,"['hanya', 'bisa', 'orang', 'dalam', 'yang', 'mampu', 'menjadi', 'pimpinan', 'tanpa', 'orang', 'dalam', 'kita', 'bisa', 'apa', 'ngang', 'ngong', 'nganggong']",orang pimpinan orang ngang ngong nganggong,orang pimpin orang ngang ngong nganggong,1
sy dukung...selalu dalam lindungan yg mahakuasa mas @kaesangp,bukan ujaran kebencian,aku dukung selalu dalam lindungan yang mahakuasa kakak,"['aku', 'dukung', 'selalu', 'dalam', 'lindungan', 'yang', 'mahakuasa', 'kakak']",dukung lindungan mahakuasa kakak,dukung lindung mahakuasa kakak,1
"pppk dpt pensiun? istimewa dari pns? mana pppk dari honorer byk titipan pejabat, secara tdk langsung buat bom waktu , pns dikit sj kurang anggaran negara apalagi pppk jd pegawai tetap dan dpt pensiun siap2 bangkrut negara dan dosa yg dibuat terus mengalir",bukan ujaran kebencian,pk dapat pensiun istimewa dari pns mana pk dari honorer banyak titipan pejabat secara tidak langsung buat bom waktu pegawai negeri sipil sedikit saja kurang anggaran negara apalagi pk jadi pegawai tetap dan dapat pensiun siap siap bangkrut negara dan dosa yang dibuat terus mengalir,"['pk', 'dapat', 'pensiun', 'istimewa', 'dari', 'pns', 'mana', 'pk', 'dari', 'honorer', 'banyak', 'titipan', 'pejabat', 'secara', 'tidak', 'langsung', 'buat', 'bom', 'waktu', 'pegawai', 'negeri', 'sipil', 'sedikit', 'saja', 'kurang', 'anggaran', 'negara', 'apalagi', 'pk', 'jadi', 'pegawai', 'tetap', 'dan', 'dapat', 'pensiun', 'siap', 'siap', 'bangkrut', 'negara', 'dan', 'dosa', 'yang', 'dibuat', 'terus', 'mengalir']",pk pensiun istimewa pns pk honorer titipan pejabat langsung bom pegawai negeri sipil anggaran negara pk pegawai pensiun bangkrut negara dosa mengalir,pk pensiun istimewa pns pk honorer titip jabat langsung bom pegawai negeri sipil anggar negara pk pegawai pensiun bangkrut negara dosa alir,1
# udah berax ????? #,bukan ujaran kebencian,sudah berax,"['sudah', 'berax']",berax,berax,1
"saya dari masa depan, tahun depan kaesang akan menjadi menpora,  tandai gue klw benar.  dan 1 lagi  2029 kaesang dan gibran akan bertarung menjadi ri 1",bukan ujaran kebencian,aku dari masa depan tahun depan kaesang akan menjadi menpora tandai aku kalau benar dan lagi kaesang dan gibran akan bertarung menjadi ri,"['aku', 'dari', 'masa', 'depan', 'tahun', 'depan', 'kaesang', 'akan', 'menjadi', 'menpora', 'tandai', 'aku', 'kalau', 'benar', 'dan', 'lagi', 'kaesang', 'dan', 'gibran', 'akan', 'bertarung', 'menjadi', 'ri']",kaesang menpora tandai kaesang gibran bertarung ri,kaesang menpora tanda kaesang gibran tarung ri,1
aasalamualaikum mas kaesang saya mo mengadukan bahwa umkm daerah puncak bogor deket” ini mau ada penggusuran..saya selaku umkm tolong kami mas bantu umkm disini..trimakasi mas🙏🙏,bukan ujaran kebencian,aasalamualaikum kakak kaesang aku mau mengadukan bahwa usaha mikro kecil dan menengah daerah puncak bogor deket ini mau ada penggusuran saya selaku usaha mikro kecil dan menengah tolong kami kakak bantu usaha mikro kecil dan menengah disini trimakasi mas,"['aasalamualaikum', 'kakak', 'kaesang', 'aku', 'mau', 'mengadukan', 'bahwa', 'usaha', 'mikro', 'kecil', 'dan', 'menengah', 'daerah', 'puncak', 'bogor', 'deket', 'ini', 'mau', 'ada', 'penggusuran', 'saya', 'selaku', 'usaha', 'mikro', 'kecil', 'dan', 'menengah', 'tolong', 'kami', 'kakak', 'bantu', 'usaha', 'mikro', 'kecil', 'dan', 'menengah', 'disini', 'trimakasi', 'mas']",aasalamualaikum kakak kaesang mengadukan usaha mikro menengah daerah puncak bogor deket penggusuran usaha mikro menengah tolong kakak bantu usaha mikro menengah trimakasi mas,aasalamualaikum kakak kaesang adu usaha mikro tengah daerah puncak bogor deket gusur usaha mikro tengah tolong kakak bantu usaha mikro tengah trimakasi mas,1
"tolong bantu jessica, justice for jessica",bukan ujaran kebencian,tolong bantu je ica adil untuk je ica,"['tolong', 'bantu', 'je', 'ica', 'adil', 'untuk', 'je', 'ica']",tolong bantu je ica adil je ica,tolong bantu je ica adil je ica,1
unfollow aja ni orang,bukan ujaran kebencian,unfollow saja ini orang,"['unfollow', 'saja', 'ini', 'orang']",unfollow orang,unfollow orang,1
i like @kaesangp ❤️,bukan ujaran kebencian,i suka,"['i', 'suka']",i suka,i suka,1
planga plongo,bukan ujaran kebencian,plonga plongo,"['plonga', 'plongo']",plonga plongo,plonga plongo,1
deh ga nyadar...bukan nyuplai buku kalih tapi nyuplai tentara. wiwiwiwiwwww ada kang bakso nanana nana nanana😂😂,bukan ujaran kebencian,deh tidak nyadar bukan nyuplai buku kalih tapi nyuplai tentara wiwiwiwiw ada kang bakso nanana nana nanana,"['deh', 'tidak', 'nyadar', 'bukan', 'nyuplai', 'buku', 'kalih', 'tapi', 'nyuplai', 'tentara', 'wiwiwiwiw', 'ada', 'kang', 'bakso', 'nanana', 'nana', 'nanana']",deh nyadar nyuplai buku kalih nyuplai tentara wiwiwiwiw kang bakso nanana nana nanana,deh nyadar nyuplai buku kalih nyuplai tentara wiwiwiwiw kang bakso nanana nana nanana,1
"halo mas kaesang, boleh spill ngga bajunya yang bergambar pak prabowo beli dimana? capek banget nyari di market ngga ada 😭",bukan ujaran kebencian,halo kakak kaesang boleh spill tidak bajunya yang bergambar bapak prabowo beli dimana kesal sekali mencari di market tidak ada,"['halo', 'kakak', 'kaesang', 'boleh', 'spill', 'tidak', 'bajunya', 'yang', 'bergambar', 'bapak', 'prabowo', 'beli', 'dimana', 'kesal', 'sekali', 'mencari', 'di', 'market', 'tidak', 'ada']",halo kakak kaesang spill bajunya bergambar prabowo beli dimana kesal mencari market,halo kakak kaesang spill baju gambar prabowo beli mana kesal cari market,1
semoga langkah sampean ga salah mas @kaesangp ingatlah sejarah soeharto dan anak2nya yg mendapatkan privilege karena anak presiden membuat rakyat muak dan berontak. saya pecinta jokowi dan tidak ingin legasi yang dibangun selama 10 tahun ini sebagai pondasi kokoh indonesia maju hancur di masa2 akhir jabatannya karena anak-anaknya. sebaiknya mas kaesang dengarkan sejenak pesan cinta  @dennysirregar di youtube agar sampean bisa berpikir jernih,bukan ujaran kebencian,semoga langkah sampean tidak salah kakak ingatlah sejarah soeharto dan anak anaknya yang mendapatkan privilege karena anak presiden membuat rakyat muak dan berontak aku pencinta jokowi dan tidak ingin legasi yang dibangun selama tahun ini sebagai pondasi kokoh indonesia maju hancur di masa masa akhir jabatannya karena anak anaknya sebaiknya kakak kaesang dengarkan sejenak pesan cinta di youtube agar sampean bisa berpikir jernih,"['semoga', 'langkah', 'sampean', 'tidak', 'salah', 'kakak', 'ingatlah', 'sejarah', 'soeharto', 'dan', 'anak', 'anaknya', 'yang', 'mendapatkan', 'privilege', 'karena', 'anak', 'presiden', 'membuat', 'rakyat', 'muak', 'dan', 'berontak', 'aku', 'pencinta', 'jokowi', 'dan', 'tidak', 'ingin', 'legasi', 'yang', 'dibangun', 'selama', 'tahun', 'ini', 'sebagai', 'pondasi', 'kokoh', 'indonesia', 'maju', 'hancur', 'di', 'masa', 'masa', 'akhir', 'jabatannya', 'karena', 'anak', 'anaknya', 'sebaiknya', 'kakak', 'kaesang', 'dengarkan', 'sejenak', 'pesan', 'cinta', 'di', 'youtube', 'agar', 'sampean', 'bisa', 'berpikir', 'jernih']",semoga langkah sampean salah kakak ingatlah sejarah soeharto anak anaknya privilege anak presiden rakyat muak berontak pencinta jokowi legasi dibangun pondasi kokoh indonesia maju hancur jabatannya anak anaknya kakak kaesang dengarkan pesan cinta youtube sampean berpikir jernih,moga langkah sampean salah kakak ingat sejarah soeharto anak anak privilege anak presiden rakyat muak berontak cinta jokowi legasi bangun pondasi kokoh indonesia maju hancur jabat anak anak kakak kaesang dengar pesan cinta youtube sampean pikir jernih,1
selamat ya mas @kaesangp sukses selalu ❤️❤️,bukan ujaran kebencian,selamat ya kakak sukses selalu,"['selamat', 'ya', 'kakak', 'sukses', 'selalu']",selamat ya kakak sukses,selamat ya kakak sukses,1
"🙏 sehat, sukses, dan bahagia selalu kaesang dan keluarga. 💕 👍 tetaplah semangat. tuhan memberkatimu selalu. 💕",bukan ujaran kebencian,sehat sukses dan bahagia selalu kaesang dan keluarga tetaplah semangat tuhan memberkatimu selalu,"['sehat', 'sukses', 'dan', 'bahagia', 'selalu', 'kaesang', 'dan', 'keluarga', 'tetaplah', 'semangat', 'tuhan', 'memberkatimu', 'selalu']",sehat sukses bahagia kaesang keluarga tetaplah semangat tuhan memberkatimu,sehat sukses bahagia kaesang keluarga tetap semangat tuhan berkat,1
tolong buka dm saya pak..,bukan ujaran kebencian,tolong buka direct me age aku pak,"['tolong', 'buka', 'direct', 'me', 'age', 'aku', 'pak']",tolong buka direct me age,tolong buka direct me age,1
bapak lu kenapa ngab soal keppres itu? ga salah tah?,bukan ujaran kebencian,bapak kamu kenapa ngab soal keputusan presiden itu tidak salah tah,"['bapak', 'kamu', 'kenapa', 'ngab', 'soal', 'keputusan', 'presiden', 'itu', 'tidak', 'salah', 'tah']",ngab keputusan presiden salah tah,ngab putus presiden salah tah,1
naruh cv joint psi lewat mana om ? @kaesangp,bukan ujaran kebencian,taruh cv joint psi lewat mana om,"['taruh', 'cv', 'joint', 'psi', 'lewat', 'mana', 'om']",taruh cv joint psi om,taruh cv joint psi om,1
gaspol ❤️❤️❤️❤️❤️,bukan ujaran kebencian,gas,['gas'],gas,gas,1
"tolong mbak @erinagudono jika mas @kaesangp  turun ke daerah jangan pakai kendaraan mewah, jangan nginep di hotel mewah, jangan makan makanan mewah, tetaplah sederahana saat menyapa masyarakat",bukan ujaran kebencian,tolong kakak jika kakak turun ke daerah jangan pakai kendaraan mewah jangan menginap di hotel mewah jangan makan makanan mewah tetaplah sederahana saat menyapa masyarakat,"['tolong', 'kakak', 'jika', 'kakak', 'turun', 'ke', 'daerah', 'jangan', 'pakai', 'kendaraan', 'mewah', 'jangan', 'menginap', 'di', 'hotel', 'mewah', 'jangan', 'makan', 'makanan', 'mewah', 'tetaplah', 'sederahana', 'saat', 'menyapa', 'masyarakat']",tolong kakak kakak turun daerah pakai kendaraan mewah menginap hotel mewah makan makanan mewah tetaplah sederahana menyapa masyarakat,tolong kakak kakak turun daerah pakai kendara mewah inap hotel mewah makan makan mewah tetap sederahana sapa masyarakat,1
mau nanya apakah kalian keturunan pki,bukan ujaran kebencian,mau bertanya apakah kalian keturunan partai komunis indonesia,"['mau', 'bertanya', 'apakah', 'kalian', 'keturunan', 'partai', 'komunis', 'indonesia']",keturunan partai komunis indonesia,turun partai komunis indonesia,1
saya juga otw unfollow 😂,bukan ujaran kebencian,aku juga nyala sebuah way unfollow,"['aku', 'juga', 'nyala', 'sebuah', 'way', 'unfollow']",nyala way unfollow,nyala way unfollow,1
nunggu deklarasi psi merapat ke pak prabowo (sebagai tanda bahwa dalam keluarga pak jokowi sbg keluarga yang demokratis),bukan ujaran kebencian,menunggu deklarasi psi merapat ke bapak prabowo sebagai tanda bahwa dalam keluarga bapak jokowi sebagai keluarga yang demokratis,"['menunggu', 'deklarasi', 'psi', 'merapat', 'ke', 'bapak', 'prabowo', 'sebagai', 'tanda', 'bahwa', 'dalam', 'keluarga', 'bapak', 'jokowi', 'sebagai', 'keluarga', 'yang', 'demokratis']",menunggu deklarasi psi merapat prabowo tanda keluarga jokowi keluarga demokratis,tunggu deklarasi psi rapat prabowo tanda keluarga jokowi keluarga demokratis,1
“anak saya tidak tertarik politik” 🗿,bukan ujaran kebencian,anak aku tidak tertarik politik,"['anak', 'aku', 'tidak', 'tertarik', 'politik']",anak tertarik politik,anak tarik politik,1
lbh pas kaesang jd cawapres dri gibran,bukan ujaran kebencian,lebih pas kaesang jadi calon wakil presiden dari gibran,"['lebih', 'pas', 'kaesang', 'jadi', 'calon', 'wakil', 'presiden', 'dari', 'gibran']",pas kaesang calon wakil presiden gibran,pas kaesang calon wakil presiden gibran,1
jangan pilih capres penculik,bukan ujaran kebencian,jangan pilih calon presiden penculik,"['jangan', 'pilih', 'calon', 'presiden', 'penculik']",pilih calon presiden penculik,pilih calon presiden culik,1
motoa,bukan ujaran kebencian,motoa,['motoa'],motoa,motoa,1
dukungan bijak diberikan pada calon presiden yg dpt melanjutkan jejak ayahmu...,bukan ujaran kebencian,dukungan bijak diberikan pada calon presiden yang dapat melanjutkan jejak ayahmu,"['dukungan', 'bijak', 'diberikan', 'pada', 'calon', 'presiden', 'yang', 'dapat', 'melanjutkan', 'jejak', 'ayahmu']",dukungan bijak calon presiden melanjutkan jejak ayahmu,dukung bijak calon presiden lanjut jejak ayah,1
"bapak anak gadak yg mau ngalah siapa dlu yg ngefollow ig nya, gengsi mas",bukan ujaran kebencian,bapak anak gadak yang mau mengalah siapa dulu yang ngefollow instagram nya gengsi kakak,"['bapak', 'anak', 'gadak', 'yang', 'mau', 'mengalah', 'siapa', 'dulu', 'yang', 'ngefollow', 'instagram', 'nya', 'gengsi', 'kakak']",anak gadak mengalah ngefollow instagram nya gengsi kakak,anak gadak kalah ngefollow instagram nya gengsi kakak,1
sang.. lu kalo bisa bikin partai lu fair ga pilih kasih..apalagi sampai membust partai lu ga membully mas anies lagi .. w acungin jempol lu asli 🤣 itu juga nasehat buat psi kalo mau lolos senayan paling ga bersikap adil kritik semua tokoh. ga hanya oposisi doang yg dikritik,bukan ujaran kebencian,sang kamu kalau bisa bikin partai kamu fair tidak pilih kasih apalagi sampai membust partai kamu tidak membully kakak anies lagi aku acungin jempol kamu asli itu juga nasehat buat psi kalau mau lolos senayan paling tidak bersikap adil kritik semua tokoh tidak hanya oposisi doang yang dikritik,"['sang', 'kamu', 'kalau', 'bisa', 'bikin', 'partai', 'kamu', 'fair', 'tidak', 'pilih', 'kasih', 'apalagi', 'sampai', 'membust', 'partai', 'kamu', 'tidak', 'membully', 'kakak', 'anies', 'lagi', 'aku', 'acungin', 'jempol', 'kamu', 'asli', 'itu', 'juga', 'nasehat', 'buat', 'psi', 'kalau', 'mau', 'lolos', 'senayan', 'paling', 'tidak', 'bersikap', 'adil', 'kritik', 'semua', 'tokoh', 'tidak', 'hanya', 'oposisi', 'doang', 'yang', 'dikritik']",sang bikin partai fair pilih kasih membust partai membully kakak anies acungin jempol asli nasehat psi lolos senayan bersikap adil kritik tokoh oposisi doang dikritik,sang bikin partai fair pilih kasih membust partai membully kakak anies acungin jempol asli nasehat psi lolos senayan sikap adil kritik tokoh oposisi doang kritik,1
mas nama cukuran rambutnya apa mas?,bukan ujaran kebencian,kakak nama cukuran rambutnya apa mas,"['kakak', 'nama', 'cukuran', 'rambutnya', 'apa', 'mas']",kakak nama cukuran rambutnya mas,kakak nama cukur rambut mas,1
"gambaran wajah indonesia, nepotisme... dimana yg benar2 berkualitas akan kalah sama anak presiden. pantes anak2 muda berprestasi lbh memilih bekerja di luar negeri drpd terlibat dlm politik 😊",ujaran kebencian,gambaran wajah indonesia nepotisme dimana yang benar benar berkualitas akan kalah sama anak presiden pantas anak anak muda berprestasi lebih memilih bekerja di luar negeri daripada terlibat dalam politik,"['gambaran', 'wajah', 'indonesia', 'nepotisme', 'dimana', 'yang', 'benar', 'benar', 'berkualitas', 'akan', 'kalah', 'sama', 'anak', 'presiden', 'pantas', 'anak', 'anak', 'muda', 'berprestasi', 'lebih', 'memilih', 'bekerja', 'di', 'luar', 'negeri', 'daripada', 'terlibat', 'dalam', 'politik']",gambaran wajah indonesia nepotisme dimana berkualitas kalah anak presiden anak anak muda berprestasi memilih negeri terlibat politik,gambar wajah indonesia nepotisme mana kualitas kalah anak presiden anak anak muda prestasi pilih negeri libat politik,0
di tunggu di kabupaten bangkalan pak ketum @kaesangp,bukan ujaran kebencian,di tunggu di kabupaten bangkalan bapak ketua umum,"['di', 'tunggu', 'di', 'kabupaten', 'bangkalan', 'bapak', 'ketua', 'umum']",tunggu kabupaten bangkalan ketua,tunggu kabupaten bangkal ketua,1
"dulu masih inget banget waktu ditanya ada niatan nyalon engga ? jawabnya enggak, mau jualan pisang aja. e taunya 😂😂😂😂😂",bukan ujaran kebencian,dulu masih ingat sekali waktu ditanya ada niatan nyalon tidak jawabnya enggak mau jualan pisang aja e taunya,"['dulu', 'masih', 'ingat', 'sekali', 'waktu', 'ditanya', 'ada', 'niatan', 'nyalon', 'tidak', 'jawabnya', 'enggak', 'mau', 'jualan', 'pisang', 'aja', 'e', 'taunya']",niatan nyalon jualan pisang aja e taunya,niat nyalon jual pisang aja e tau,1
cek & follow akun ini ya erina & mas kaesang 😍😍🙏🏻🙏🏻,bukan ujaran kebencian,cek follow akun ini ya erina kakak kaesang,"['cek', 'follow', 'akun', 'ini', 'ya', 'erina', 'kakak', 'kaesang']",cek follow akun ya erina kakak kaesang,cek follow akun ya erina kakak kaesang,1
semua yang instan itu memang enak apalagi kedudukan dan. jabatan...,ujaran kebencian,semua yang instan itu memang enak apalagi kedudukan dan jabatan,"['semua', 'yang', 'instan', 'itu', 'memang', 'enak', 'apalagi', 'kedudukan', 'dan', 'jabatan']",instan enak kedudukan jabatan,instan enak duduk jabat,0
mas saya ikut mas,bukan ujaran kebencian,kakak aku ikut kakak,"['kakak', 'aku', 'ikut', 'kakak']",kakak kakak,kakak kakak,1
"mas , sdh ditunggu mbak @puanmaharaniri , segera yah😊",bukan ujaran kebencian,kakak sudah ditunggu kakak segera yah,"['kakak', 'sudah', 'ditunggu', 'kakak', 'segera', 'yah']",kakak ditunggu kakak yah,kakak tunggu kakak yah,1
lagunya kerennn bangetttt ❤️,bukan ujaran kebencian,lagunya keren sekali,"['lagunya', 'keren', 'sekali']",lagunya keren,lagu keren,1
semoga pdip dan psi makin hancur! 😂,ujaran kebencian,semoga partai demokrasi indonesia perjuangan dan psi makin hancur,"['semoga', 'partai', 'demokrasi', 'indonesia', 'perjuangan', 'dan', 'psi', 'makin', 'hancur']",semoga partai demokrasi indonesia perjuangan psi hancur,moga partai demokrasi indonesia juang psi hancur,0
"cocok emang jodoh klen bahh @kaesangp @erinagudono visi dan misi sama👏🏻👏🏻, sehat, lancar dan semakin memberi kontribusi terbaik buat negeri 🙏🙏",bukan ujaran kebencian,cocok memang jodoh kalian bahh visi dan misi sama sehat lancar dan semakin memberi kontribusi terbaik buat negeri,"['cocok', 'memang', 'jodoh', 'kalian', 'bahh', 'visi', 'dan', 'misi', 'sama', 'sehat', 'lancar', 'dan', 'semakin', 'memberi', 'kontribusi', 'terbaik', 'buat', 'negeri']",cocok jodoh bahh visi misi sehat lancar kontribusi terbaik negeri,cocok jodoh bahh visi misi sehat lancar kontribusi baik negeri,1
sukses selalu ya pak ketum🤩,bukan ujaran kebencian,sukses selalu ya bapak ketum,"['sukses', 'selalu', 'ya', 'bapak', 'ketum']",sukses ya ketum,sukses ya tum,1
aku padamu bro kaesang @psi_id  maju terus!!! wakilkan suara generasi muda!,bukan ujaran kebencian,aku padamu bro kaesang maju terus wakilkan suara generasi muda,"['aku', 'padamu', 'bro', 'kaesang', 'maju', 'terus', 'wakilkan', 'suara', 'generasi', 'muda']",padamu bro kaesang maju wakilkan suara generasi muda,pada bro kaesang maju wakil suara generasi muda,1
